actor;status;A0101;A0102;A0107;A0110;A0111;A0112;A0113;A0121;A0122;A0123;G0101;G0103;G0104;G0107;G0108;G0110;G0113;G0116;G0117;G0119;G0125;G0126;G0127;G0401;G0402;G0404;G0405;G0407;G0408;G0410;H0105;H0107
FI127;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI128;respondent;5;5;1;4;2;4;2;4;4;2;4;4;5;4;4;4;5;4;4;4;5;3;1;5;1;4;3;3;1;2;5;5
FI129;respondent;5;5;1;5;1;4;1;5;5;5;2;2;4;2;5;3;5;5;4;5;5;5;2;5;1;4;1;1;4;3;5;3
FI130;respondent;5;5;1;5;1;5;2;1;4;5;5;5;4;4;5;4;4;4;5;5;4;5;5;5;1;5;1;1;5;5;5;5
FI131;respondent;5;5;1;5;1;5;1;5;5;5;4;4;5;5;5;3;5;5;4;5;5;5;1;5;1;3;2;1;4;3;5;5
FI132;respondent;5;5;5;5;1;2;4;4;5;4;5;3;4;5;5;4;4;4;5;5;4;4;5;4;1;5;2;1;4;5;4;5
FI133;respondent;5;5;1;5;1;3;3;3;5;4;4;4;4;2;3;3;4;3;3;5;5;5;2;5;1;5;2;1;5;5;5;5
FI134;respondent;5;5;1;5;1;5;4;4;5;5;4;4;NA;NA;NA;NA;NA;5;NA;5;4;4;NA;5;1;4;1;1;4;4;5;4
FI135;respondent;5;5;1;5;2;5;4;5;5;5;5;5;4;5;5;4;4;5;5;5;5;5;1;4;1;5;2;1;5;5;5;5
FI136;respondent;5;5;1;4;2;4;2;5;4;2;5;5;4;2;5;5;5;4;5;5;3;5;2;5;1;5;2;1;5;5;5;5
FI137;respondent;5;5;2;4;2;4;4;4;4;3;5;5;5;4;5;4;3;3;5;5;1;3;3;4;3;4;3;2;3;4;5;5
FI138;respondent;5;5;4;4;4;4;5;4;4;4;3;5;5;5;4;4;4;4;4;4;2;2;4;4;2;4;4;3;4;4;5;4
FI139;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI140;respondent;5;5;1;4;2;2;3;2;5;4;5;4;4;5;5;5;3;4;5;5;3;5;5;4;2;4;2;2;4;5;5;5
FI141;respondent;5;5;1;5;1;3;2;5;4;4;5;5;5;4;5;4;5;5;4;4;5;4;4;4;1;5;2;1;5;5;5;5
FI142;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
