from;to
FI031;FI042
FI031;FI043
FI031;FI044
FI031;FI045
FI031;FI048
FI031;FI049
FI031;FI052
FI031;FI058
FI031;FI061
FI031;FI062
FI031;FI064
FI031;FI065
FI031;FI067
FI031;FI070
FI031;FI072
FI031;FI073
FI031;FI074
FI031;FI075
FI031;FI076
FI031;FI078
FI031;FI079
FI031;FI080
FI031;FI086
FI031;FI087
FI031;FI090
FI031;FI091
FI031;FI095
FI031;FI096
FI031;FI097
FI031;FI099
FI031;FI102
FI031;FI103
FI031;FI104
FI031;FI105
FI031;FI106
FI031;FI107
FI031;FI108
FI031;FI112
FI031;FI117
FI032;FI001
FI032;FI002
FI032;FI003
FI032;FI005
FI032;FI008
FI032;FI010
FI032;FI011
FI032;FI015
FI032;FI016
FI032;FI018
FI032;FI020
FI032;FI023
FI032;FI025
FI032;FI027
FI032;FI032
FI032;FI033
FI032;FI038
FI032;FI043
FI032;FI045
FI032;FI049
FI032;FI061
FI032;FI062
FI032;FI063
FI032;FI064
FI032;FI065
FI032;FI073
FI032;FI079
FI032;FI082
FI032;FI087
FI032;FI091
FI032;FI093
FI032;FI095
FI032;FI096
FI032;FI099
FI032;FI100
FI032;FI102
FI032;FI103
FI032;FI104
FI032;FI113
FI032;FI114
FI032;FI117
FI033;FI008
FI033;FI010
FI033;FI048
FI033;FI065
FI033;FI073
FI033;FI076
FI033;FI079
FI033;FI085
FI033;FI086
FI033;FI087
FI033;FI093
FI033;FI096
FI033;FI097
FI033;FI099
FI033;FI100
FI033;FI102
FI033;FI103
FI033;FI106
FI034;FI036
FI034;FI037
FI034;FI067
FI034;FI079
FI034;FI087
FI034;FI095
FI034;FI096
FI034;FI099
FI034;FI100
FI034;FI102
FI035;FI001
FI035;FI004
FI035;FI008
FI035;FI009
FI035;FI010
FI035;FI011
FI035;FI012
FI035;FI015
FI035;FI017
FI035;FI018
FI035;FI020
FI035;FI021
FI035;FI023
FI035;FI026
FI035;FI027
FI035;FI030
FI035;FI033
FI035;FI036
FI035;FI037
FI035;FI038
FI035;FI041
FI035;FI042
FI035;FI049
FI035;FI050
FI035;FI052
FI035;FI053
FI035;FI061
FI035;FI064
FI035;FI065
FI035;FI067
FI035;FI070
FI035;FI074
FI035;FI075
FI035;FI077
FI035;FI079
FI035;FI085
FI035;FI093
FI035;FI096
FI035;FI097
FI035;FI099
FI035;FI100
FI035;FI101
FI035;FI102
FI035;FI103
FI035;FI104
FI035;FI105
FI035;FI106
FI035;FI107
FI035;FI112
FI035;FI113
FI035;FI114
FI035;FI115
FI035;FI117
FI036;FI001
FI036;FI002
FI036;FI003
FI036;FI004
FI036;FI005
FI036;FI008
FI036;FI009
FI036;FI010
FI036;FI011
FI036;FI012
FI036;FI013
FI036;FI015
FI036;FI017
FI036;FI018
FI036;FI020
FI036;FI021
FI036;FI022
FI036;FI023
FI036;FI027
FI036;FI029
FI036;FI030
FI036;FI032
FI036;FI033
FI036;FI034
FI036;FI035
FI036;FI036
FI036;FI037
FI036;FI038
FI036;FI040
FI036;FI041
FI036;FI042
FI036;FI044
FI036;FI045
FI036;FI047
FI036;FI048
FI036;FI050
FI036;FI051
FI036;FI052
FI036;FI053
FI036;FI054
FI036;FI057
FI036;FI060
FI036;FI061
FI036;FI062
FI036;FI063
FI036;FI064
FI036;FI065
FI036;FI067
FI036;FI070
FI036;FI072
FI036;FI073
FI036;FI074
FI036;FI075
FI036;FI077
FI036;FI078
FI036;FI079
FI036;FI080
FI036;FI081
FI036;FI082
FI036;FI083
FI036;FI084
FI036;FI085
FI036;FI086
FI036;FI087
FI036;FI088
FI036;FI089
FI036;FI090
FI036;FI091
FI036;FI092
FI036;FI093
FI036;FI094
FI036;FI095
FI036;FI096
FI036;FI097
FI036;FI099
FI036;FI100
FI036;FI101
FI036;FI102
FI036;FI103
FI036;FI104
FI036;FI105
FI036;FI106
FI036;FI107
FI036;FI108
FI036;FI112
FI036;FI113
FI036;FI114
FI036;FI121
FI037;FI001
FI037;FI002
FI037;FI005
FI037;FI008
FI037;FI009
FI037;FI010
FI037;FI012
FI037;FI014
FI037;FI015
FI037;FI018
FI037;FI021
FI037;FI022
FI037;FI023
FI037;FI025
FI037;FI027
FI037;FI032
FI037;FI036
FI037;FI038
FI037;FI041
FI037;FI042
FI037;FI043
FI037;FI044
FI037;FI047
FI037;FI048
FI037;FI049
FI037;FI050
FI037;FI051
FI037;FI052
FI037;FI057
FI037;FI060
FI037;FI061
FI037;FI063
FI037;FI065
FI037;FI070
FI037;FI073
FI037;FI074
FI037;FI075
FI037;FI079
FI037;FI082
FI037;FI084
FI037;FI085
FI037;FI086
FI037;FI087
FI037;FI088
FI037;FI091
FI037;FI093
FI037;FI094
FI037;FI096
FI037;FI097
FI037;FI099
FI037;FI100
FI037;FI101
FI037;FI102
FI037;FI103
FI037;FI104
FI037;FI106
FI037;FI109
FI037;FI110
FI037;FI111
FI037;FI114
FI037;FI115
FI037;FI117
FI037;FI118
FI037;FI120
FI037;FI121
FI038;FI001
FI038;FI007
FI038;FI008
FI038;FI010
FI038;FI015
FI038;FI016
FI038;FI018
FI038;FI019
FI038;FI035
FI038;FI036
FI038;FI041
FI038;FI042
FI038;FI043
FI038;FI048
FI038;FI062
FI038;FI063
FI038;FI065
FI038;FI067
FI038;FI070
FI038;FI071
FI038;FI073
FI038;FI075
FI038;FI082
FI038;FI091
FI038;FI094
FI038;FI095
FI038;FI096
FI038;FI097
FI038;FI099
FI038;FI100
FI038;FI102
FI038;FI106
FI038;FI108
FI039;FI003
FI039;FI005
FI039;FI008
FI039;FI010
FI039;FI011
FI039;FI012
FI039;FI013
FI039;FI016
FI039;FI023
FI039;FI026
FI039;FI030
FI039;FI033
FI039;FI037
FI039;FI038
FI039;FI040
FI039;FI042
FI039;FI048
FI039;FI049
FI039;FI052
FI039;FI064
FI039;FI065
FI039;FI067
FI039;FI074
FI039;FI075
FI039;FI077
FI039;FI079
FI039;FI085
FI039;FI087
FI039;FI088
FI039;FI091
FI039;FI095
FI039;FI096
FI039;FI099
FI039;FI100
FI039;FI101
FI039;FI103
FI039;FI104
FI039;FI106
FI039;FI115
FI040;FI001
FI040;FI002
FI040;FI008
FI040;FI009
FI040;FI010
FI040;FI011
FI040;FI013
FI040;FI016
FI040;FI018
FI040;FI019
FI040;FI020
FI040;FI021
FI040;FI023
FI040;FI026
FI040;FI027
FI040;FI033
FI040;FI037
FI040;FI038
FI040;FI040
FI040;FI041
FI040;FI042
FI040;FI043
FI040;FI053
FI040;FI057
FI040;FI061
FI040;FI064
FI040;FI065
FI040;FI070
FI040;FI071
FI040;FI074
FI040;FI077
FI040;FI079
FI040;FI082
FI040;FI086
FI040;FI087
FI040;FI091
FI040;FI094
FI040;FI095
FI040;FI096
FI040;FI097
FI040;FI099
FI040;FI100
FI040;FI101
FI040;FI102
FI040;FI103
FI040;FI104
FI041;FI001
FI041;FI004
FI041;FI005
FI041;FI008
FI041;FI009
FI041;FI010
FI041;FI013
FI041;FI015
FI041;FI016
FI041;FI017
FI041;FI018
FI041;FI020
FI041;FI021
FI041;FI022
FI041;FI023
FI041;FI027
FI041;FI037
FI041;FI038
FI041;FI041
FI041;FI042
FI041;FI043
FI041;FI050
FI041;FI053
FI041;FI056
FI041;FI057
FI041;FI061
FI041;FI063
FI041;FI064
FI041;FI067
FI041;FI070
FI041;FI073
FI041;FI074
FI041;FI075
FI041;FI079
FI041;FI082
FI041;FI085
FI041;FI087
FI041;FI088
FI041;FI091
FI041;FI093
FI041;FI094
FI041;FI095
FI041;FI096
FI041;FI099
FI041;FI100
FI041;FI101
FI041;FI102
FI041;FI103
FI041;FI105
FI042;FI001
FI042;FI005
FI042;FI008
FI042;FI010
FI042;FI011
FI042;FI013
FI042;FI018
FI042;FI020
FI042;FI021
FI042;FI022
FI042;FI042
FI042;FI065
FI042;FI067
FI042;FI070
FI042;FI086
FI042;FI087
FI042;FI093
FI042;FI095
FI042;FI097
FI042;FI099
FI042;FI100
FI042;FI101
FI042;FI102
FI042;FI104
FI042;FI105
FI042;FI106
FI042;FI111
FI042;FI114
FI042;FI118
FI042;FI121
FI045;FI001
FI045;FI008
FI045;FI010
FI045;FI018
FI045;FI025
FI045;FI033
FI045;FI037
FI045;FI038
FI045;FI043
FI045;FI049
FI045;FI056
FI045;FI065
FI045;FI071
FI045;FI074
FI045;FI079
FI045;FI080
FI045;FI085
FI045;FI086
FI045;FI087
FI045;FI096
FI045;FI097
FI045;FI099
FI045;FI100
FI045;FI101
FI045;FI102
FI045;FI103
FI045;FI104
FI045;FI105
FI045;FI107
FI045;FI108
FI045;FI111
FI047;FI001
FI047;FI005
FI047;FI007
FI047;FI008
FI047;FI010
FI047;FI011
FI047;FI012
FI047;FI014
FI047;FI015
FI047;FI016
FI047;FI017
FI047;FI018
