from;to
FI067;FI035
FI067;FI039
FI067;FI046
FI067;FI059
FI067;FI066
FI067;FI067
FI067;FI069
FI067;FI095
FI067;FI115
FI067;FI116
FI067;FI117
FI067;FI118
FI067;FI120
FI068;FI005
FI068;FI010
FI068;FI011
FI068;FI032
FI068;FI038
FI068;FI045
FI068;FI062
FI068;FI066
FI068;FI067
FI068;FI074
FI068;FI079
FI068;FI082
FI068;FI093
FI068;FI095
FI068;FI096
FI070;FI001
FI070;FI005
FI070;FI006
FI070;FI013
FI070;FI015
FI070;FI017
FI070;FI018
FI070;FI020
FI070;FI021
FI070;FI022
FI070;FI030
FI070;FI033
FI070;FI036
FI070;FI037
FI070;FI041
FI070;FI042
FI070;FI045
FI070;FI048
FI070;FI054
FI070;FI062
FI070;FI063
FI070;FI065
FI070;FI066
FI070;FI067
FI070;FI070
FI070;FI072
FI070;FI073
FI070;FI076
FI070;FI078
FI070;FI079
FI070;FI082
FI070;FI083
FI070;FI085
FI070;FI087
FI070;FI089
FI070;FI093
FI070;FI095
FI070;FI096
FI070;FI098
FI070;FI099
FI070;FI102
FI070;FI107
FI070;FI108
FI070;FI109
FI071;FI005
FI071;FI008
FI071;FI033
FI071;FI037
FI071;FI038
FI071;FI056
FI071;FI064
FI071;FI074
FI071;FI079
FI071;FI096
FI072;FI020
FI072;FI030
FI072;FI054
FI072;FI070
FI072;FI073
FI072;FI080
FI075;FI008
FI075;FI010
FI075;FI015
FI075;FI017
FI075;FI043
FI075;FI074
FI075;FI079
FI075;FI082
FI075;FI103
FI075;FI112
FI076;FI011
FI076;FI018
FI076;FI021
FI076;FI030
FI076;FI033
FI076;FI036
FI076;FI037
FI076;FI042
FI076;FI045
FI076;FI070
FI076;FI079
FI076;FI080
FI076;FI085
FI076;FI086
FI076;FI087
FI076;FI093
FI076;FI096
FI077;FI003
FI077;FI006
FI077;FI008
FI077;FI009
FI077;FI010
FI077;FI012
FI077;FI016
FI077;FI020
FI077;FI021
FI077;FI023
FI077;FI025
FI077;FI026
FI077;FI027
FI077;FI028
FI077;FI029
FI077;FI030
FI077;FI035
FI077;FI037
FI077;FI038
FI077;FI040
FI077;FI043
FI077;FI045
FI077;FI049
FI077;FI052
FI077;FI053
FI077;FI054
FI077;FI058
FI077;FI061
FI077;FI064
FI077;FI067
FI077;FI068
FI077;FI069
FI077;FI070
FI077;FI071
FI077;FI074
FI077;FI077
FI077;FI079
FI077;FI081
FI077;FI083
FI077;FI085
FI077;FI086
FI077;FI089
FI077;FI090
FI077;FI091
FI077;FI095
FI077;FI096
FI077;FI099
FI077;FI100
FI077;FI101
FI077;FI106
FI077;FI115
FI077;FI117
FI078;FI001
FI078;FI006
FI078;FI059
FI078;FI065
FI078;FI070
FI078;FI080
FI078;FI108
FI079;FI002
FI079;FI003
FI079;FI005
FI079;FI008
FI079;FI010
FI079;FI011
FI079;FI012
FI079;FI013
FI079;FI014
FI079;FI015
FI079;FI017
FI079;FI019
FI079;FI023
FI079;FI025
FI079;FI027
FI079;FI029
FI079;FI030
FI079;FI031
FI079;FI033
FI079;FI035
FI079;FI037
FI079;FI038
FI079;FI039
FI079;FI040
FI079;FI041
FI079;FI043
FI079;FI044
FI079;FI045
FI079;FI047
FI079;FI048
FI079;FI049
FI079;FI050
FI079;FI051
FI079;FI053
FI079;FI054
FI079;FI055
FI079;FI056
FI079;FI057
FI079;FI058
FI079;FI060
FI079;FI061
FI079;FI062
FI079;FI063
FI079;FI064
FI079;FI066
FI079;FI067
FI079;FI068
FI079;FI070
FI079;FI071
FI079;FI073
FI079;FI074
FI079;FI075
FI079;FI076
FI079;FI077
FI079;FI079
FI079;FI080
FI079;FI082
FI079;FI083
FI079;FI084
FI079;FI086
FI079;FI087
FI079;FI088
FI079;FI089
FI079;FI090
FI079;FI091
FI079;FI092
FI079;FI094
FI079;FI096
FI079;FI099
FI079;FI103
FI079;FI106
FI080;FI001
FI080;FI005
FI080;FI021
FI080;FI022
FI080;FI024
FI080;FI026
FI080;FI028
FI080;FI037
FI080;FI045
FI080;FI059
FI080;FI069
FI080;FI073
FI080;FI079
FI080;FI081
FI080;FI087
FI080;FI093
FI080;FI096
FI080;FI097
FI080;FI099
FI080;FI100
FI080;FI101
FI080;FI102
FI080;FI103
FI080;FI104
FI080;FI105
FI080;FI106
FI080;FI107
FI080;FI108
FI080;FI111
FI080;FI112
FI080;FI118
FI081;FI020
FI081;FI080
FI081;FI081
FI081;FI096
FI082;FI005
FI082;FI008
FI082;FI013
FI082;FI016
FI082;FI026
FI082;FI030
FI082;FI033
FI082;FI037
FI082;FI038
FI082;FI039
FI082;FI043
FI082;FI045
FI082;FI054
FI082;FI065
FI082;FI067
FI082;FI073
FI082;FI075
FI082;FI083
FI082;FI095
FI082;FI111
FI082;FI118
FI082;FI121
FI083;FI015
FI083;FI017
FI083;FI030
FI083;FI033
FI083;FI037
FI083;FI045
FI083;FI048
FI083;FI079
FI083;FI096
FI084;FI001
FI084;FI005
FI084;FI008
FI084;FI032
FI084;FI045
FI084;FI067
FI084;FI073
FI084;FI074
FI084;FI095
FI084;FI112
FI086;FI001
FI086;FI018
FI086;FI020
FI086;FI078
FI087;FI005
FI087;FI008
FI087;FI009
FI087;FI010
FI087;FI019
FI087;FI020
FI087;FI021
FI087;FI024
FI087;FI026
FI087;FI028
FI087;FI030
FI087;FI033
FI087;FI035
FI087;FI036
FI087;FI037
FI087;FI038
FI087;FI042
FI087;FI043
FI087;FI045
FI087;FI052
FI087;FI054
FI087;FI065
FI087;FI067
FI087;FI070
FI087;FI071
FI087;FI073
FI087;FI074
FI087;FI076
FI087;FI079
FI087;FI080
FI087;FI081
FI087;FI083
FI087;FI085
FI087;FI087
FI087;FI089
FI087;FI093
FI087;FI095
FI087;FI096
FI087;FI097
FI087;FI099
FI087;FI100
FI087;FI101
FI087;FI102
FI087;FI103
FI087;FI104
FI087;FI106
FI087;FI107
FI087;FI108
FI087;FI111
FI087;FI115
FI087;FI116
FI087;FI118
FI088;FI013
FI088;FI018
FI088;FI032
FI088;FI042
FI088;FI045
FI088;FI102
FI089;FI033
FI089;FI036
FI089;FI037
FI089;FI065
FI089;FI070
FI089;FI073
FI089;FI079
FI089;FI096
FI090;FI001
FI090;FI002
FI090;FI003
FI090;FI004
FI090;FI005
FI090;FI006
FI090;FI007
FI090;FI008
FI090;FI010
FI090;FI011
FI090;FI012
FI090;FI013
FI090;FI014
FI090;FI015
FI090;FI016
FI090;FI017
FI090;FI018
FI090;FI019
FI090;FI020
FI090;FI021
FI090;FI022
FI090;FI023
FI090;FI024
FI090;FI025
FI090;FI026
FI090;FI027
FI090;FI028
FI090;FI030
FI090;FI031
FI090;FI033
FI090;FI034
FI090;FI035
FI090;FI036
FI090;FI037
FI090;FI038
FI090;FI039
FI090;FI040
FI090;FI041
FI090;FI042
FI090;FI043
FI090;FI044
FI090;FI045
FI090;FI046
FI090;FI047
FI090;FI048
FI090;FI049
FI090;FI050
FI090;FI051
FI090;FI054
FI090;FI055
FI090;FI056
FI090;FI057
FI090;FI060
FI090;FI061
FI090;FI063
FI090;FI064
FI090;FI065
FI090;FI067
FI090;FI069
FI090;FI070
FI090;FI071
FI090;FI072
FI090;FI073
FI090;FI074
FI090;FI075
FI090;FI076
FI090;FI077
FI090;FI079
FI090;FI080
FI090;FI081
FI090;FI082
FI090;FI083
FI090;FI084
FI090;FI085
FI090;FI086
FI090;FI088
FI090;FI089
FI090;FI090
FI090;FI091
FI090;FI092
FI090;FI093
FI090;FI094
FI090;FI095
FI090;FI096
FI090;FI097
FI090;FI098
FI090;FI099
FI090;FI100
FI090;FI101
FI090;FI102
FI090;FI103
FI090;FI104
FI090;FI105
FI090;FI106
FI090;FI107
FI090;FI108
FI090;FI112
FI090;FI113
FI090;FI114
FI090;FI115
FI090;FI116
FI090;FI117
FI090;FI118
FI090;FI119
FI090;FI120
FI090;FI121
FI092;FI008
FI092;FI021
FI092;FI033
FI092;FI041
FI092;FI043
